Sequence,folioURN,Siglum,RV,name
724,urn:cite:fufolio:msCodBod25.062v,codbod25,verso,folio062v
725,urn:cite:fufolio:msCodBod25.063r,codbod25,recto,folio063r
726,urn:cite:fufolio:msCodBod25.063v,codbod25,verso,folio063v
727,urn:cite:fufolio:msCodBod25.064r,codbod25,recto,folio064r
728,urn:cite:fufolio:msCodBod25.064v,codbod25,verso,folio064v
729,urn:cite:fufolio:msCodBod25.065r,codbod25,recto,folio065r
730,urn:cite:fufolio:msCodBod25.065v,codbod25,verso,folio065v
731,urn:cite:fufolio:msCodBod25.066r,codbod25,recto,folio066r
732,urn:cite:fufolio:msCodBod25.066v,codbod25,verso,folio066v
733,urn:cite:fufolio:msCodBod25.067r,codbod25,recto,folio067r
734,urn:cite:fufolio:msCodBod25.067v,codbod25,verso,folio067v
735,urn:cite:fufolio:msCodBod25.068r,codbod25,recto,folio068r
736,urn:cite:fufolio:msCodBod25.068v,codbod25,verso,folio068v
737,urn:cite:fufolio:msCodBod25.069r,codbod25,recto,folio069r
738,urn:cite:fufolio:msCodBod25.069v,codbod25,verso,folio069v
739,urn:cite:fufolio:msCodBod25.070r,codbod25,recto,folio070r
740,urn:cite:fufolio:msCodBod25.070v,codbod25,verso,folio070v
741,urn:cite:fufolio:msCodBod25.071r,codbod25,recto,folio071r
742,urn:cite:fufolio:msCodBod25.071v,codbod25,verso,folio071v
743,urn:cite:fufolio:msCodBod25.072r,codbod25,recto,folio072r
744,urn:cite:fufolio:msCodBod25.072v,codbod25,verso,folio072v
745,urn:cite:fufolio:msCodBod25.073r,codbod25,recto,folio073r
746,urn:cite:fufolio:msCodBod25.073v,codbod25,verso,folio073v
747,urn:cite:fufolio:msCodBod25.074r,codbod25,recto,folio074r
748,urn:cite:fufolio:msCodBod25.074v,codbod25,verso,folio074v
749,urn:cite:fufolio:msCodBod25.075r,codbod25,recto,folio075r
750,urn:cite:fufolio:msCodBod25.075v,codbod25,verso,folio075v
751,urn:cite:fufolio:msCodBod25.076r,codbod25,recto,folio076r
752,urn:cite:fufolio:msCodBod25.076v,codbod25,verso,folio076v
753,urn:cite:fufolio:msCodBod25.077r,codbod25,recto,folio077r
754,urn:cite:fufolio:msCodBod25.077v,codbod25,verso,folio077v
755,urn:cite:fufolio:msCodBod25.078r,codbod25,recto,folio078r
756,urn:cite:fufolio:msCodBod25.078v,codbod25,verso,folio078v
757,urn:cite:fufolio:msCodBod25.079r,codbod25,recto,folio079r
758,urn:cite:fufolio:msCodBod25.079v,codbod25,verso,folio079v
759,urn:cite:fufolio:msCodBod25.080r,codbod25,recto,folio080r
760,urn:cite:fufolio:msCodBod25.080v,codbod25,verso,folio080v
761,urn:cite:fufolio:msCodBod25.081r,codbod25,recto,folio081r
762,urn:cite:fufolio:msCodBod25.081v,codbod25,verso,folio081v
763,urn:cite:fufolio:msCodBod25.082r,codbod25,recto,folio082r
764,urn:cite:fufolio:msCodBod25.082v,codbod25,verso,folio082v
765,urn:cite:fufolio:msCodBod25.083r,codbod25,recto,folio083r
766,urn:cite:fufolio:msCodBod25.083v,codbod25,verso,folio083v
767,urn:cite:fufolio:msCodBod25.084r,codbod25,recto,folio084r
768,urn:cite:fufolio:msCodBod25.084v,codbod25,verso,folio084v
769,urn:cite:fufolio:msCodBod25.085r,codbod25,recto,folio085r
770,urn:cite:fufolio:msCodBod25.085v,codbod25,verso,folio085v
771,urn:cite:fufolio:msCodBod25.086r,codbod25,recto,folio086r
772,urn:cite:fufolio:msCodBod25.086v,codbod25,verso,folio086v
773,urn:cite:fufolio:msCodBod25.087r,codbod25,recto,folio087r
774,urn:cite:fufolio:msCodBod25.087v,codbod25,verso,folio087v
775,urn:cite:fufolio:msCodBod25.088r,codbod25,recto,folio088r
776,urn:cite:fufolio:msCodBod25.088v,codbod25,verso,folio088v
777,urn:cite:fufolio:msCodBod25.089r,codbod25,recto,folio089r
778,urn:cite:fufolio:msCodBod25.089v,codbod25,verso,folio089v
779,urn:cite:fufolio:msCodBod25.090r,codbod25,recto,folio090r
780,urn:cite:fufolio:msCodBod25.090v,codbod25,verso,folio090v
781,urn:cite:fufolio:msCodBod25.091r,codbod25,recto,folio091r
782,urn:cite:fufolio:msCodBod25.091v,codbod25,verso,folio091v
783,urn:cite:fufolio:msCodBod25.092r,codbod25,recto,folio092r
784,urn:cite:fufolio:msCodBod25.092v,codbod25,verso,folio092v
785,urn:cite:fufolio:msCodBod25.093r,codbod25,recto,folio093r
786,urn:cite:fufolio:msCodBod25.093v,codbod25,verso,folio093v
787,urn:cite:fufolio:msCodBod25.094r,codbod25,recto,folio094r
788,urn:cite:fufolio:msCodBod25.094v,codbod25,verso,folio094v
789,urn:cite:fufolio:msCodBod25.095r,codbod25,recto,folio095r
790,urn:cite:fufolio:msCodBod25.095v,codbod25,verso,folio095v
791,urn:cite:fufolio:msCodBod25.096r,codbod25,recto,folio096r
792,urn:cite:fufolio:msCodBod25.096v,codbod25,verso,folio096v
793,urn:cite:fufolio:msCodBod25.097r,codbod25,recto,folio097r
794,urn:cite:fufolio:msCodBod25.097v,codbod25,verso,folio097v
795,urn:cite:fufolio:msCodBod25.098r,codbod25,recto,folio098r
796,urn:cite:fufolio:msCodBod25.098v,codbod25,verso,folio098v
797,urn:cite:fufolio:msCodBod25.099r,codbod25,recto,folio099r
798,urn:cite:fufolio:msCodBod25.099v,codbod25,verso,folio099v
799,urn:cite:fufolio:msCodBod25.100r,codbod25,recto,folio100r
800,urn:cite:fufolio:msCodBod25.100v,codbod25,verso,folio100v
801,urn:cite:fufolio:msCodBod25.101r,codbod25,recto,folio101r
802,urn:cite:fufolio:msCodBod25.101v,codbod25,verso,folio101v
803,urn:cite:fufolio:msCodBod25.102r,codbod25,recto,folio102r
804,urn:cite:fufolio:msCodBod25.102v,codbod25,verso,folio102v
805,urn:cite:fufolio:msCodBod25.103r,codbod25,recto,folio103r
806,urn:cite:fufolio:msCodBod25.103v,codbod25,verso,folio103v
807,urn:cite:fufolio:msCodBod25.104r,codbod25,recto,folio104r
808,urn:cite:fufolio:msCodBod25.104v,codbod25,verso,folio104v
809,urn:cite:fufolio:msCodBod25.105r,codbod25,recto,folio105r
810,urn:cite:fufolio:msCodBod25.105v,codbod25,verso,folio105v
811,urn:cite:fufolio:msCodBod25.106r,codbod25,recto,folio106r
812,urn:cite:fufolio:msCodBod25.106v,codbod25,verso,folio106v
813,urn:cite:fufolio:msCodBod25.107r,codbod25,recto,folio107r
814,urn:cite:fufolio:msCodBod25.107v,codbod25,verso,folio107v
815,urn:cite:fufolio:msCodBod25.108r,codbod25,recto,folio108r
816,urn:cite:fufolio:msCodBod25.108v,codbod25,verso,folio108v
817,urn:cite:fufolio:msCodBod25.109r,codbod25,recto,folio109r
818,urn:cite:fufolio:msCodBod25.109v,codbod25,verso,folio109v
819,urn:cite:fufolio:msCodBod25.110r,codbod25,recto,folio110r
820,urn:cite:fufolio:msCodBod25.110v,codbod25,verso,folio110v
821,urn:cite:fufolio:msCodBod25.111r,codbod25,recto,folio111r
822,urn:cite:fufolio:msCodBod25.111v,codbod25,verso,folio111v
823,urn:cite:fufolio:msCodBod25.112r,codbod25,recto,folio112r
824,urn:cite:fufolio:msCodBod25.112v,codbod25,verso,folio112v
825,urn:cite:fufolio:msCodBod25.113r,codbod25,recto,folio113r
826,urn:cite:fufolio:msCodBod25.113v,codbod25,verso,folio113v
827,urn:cite:fufolio:msCodBod25.114r,codbod25,recto,folio114r
828,urn:cite:fufolio:msCodBod25.114v,codbod25,verso,folio114v
829,urn:cite:fufolio:msCodBod25.115r,codbod25,recto,folio115r
830,urn:cite:fufolio:msCodBod25.115v,codbod25,verso,folio115v
831,urn:cite:fufolio:msCodBod25.116r,codbod25,recto,folio116r
832,urn:cite:fufolio:msCodBod25.116v,codbod25,verso,folio116v
833,urn:cite:fufolio:msCodBod25.117r,codbod25,recto,folio117r
834,urn:cite:fufolio:msCodBod25.117v,codbod25,verso,folio117v
835,urn:cite:fufolio:msCodBod25.118r,codbod25,recto,folio118r
836,urn:cite:fufolio:msCodBod25.118v,codbod25,verso,folio118v
837,urn:cite:fufolio:msCodBod25.119r,codbod25,recto,folio119r
838,urn:cite:fufolio:msCodBod25.119v,codbod25,verso,folio119v
839,urn:cite:fufolio:msCodBod25.120r,codbod25,recto,folio120r
840,urn:cite:fufolio:msCodBod25.120v,codbod25,verso,folio120v
841,urn:cite:fufolio:msCodBod25.121r,codbod25,recto,folio121r
842,urn:cite:fufolio:msCodBod25.121v,codbod25,verso,folio121v
843,urn:cite:fufolio:msCodBod25.122r,codbod25,recto,folio122r
844,urn:cite:fufolio:msCodBod25.122v,codbod25,verso,folio122v
845,urn:cite:fufolio:msCodBod25.123r,codbod25,recto,folio123r
846,urn:cite:fufolio:msCodBod25.123v,codbod25,verso,folio123v
847,urn:cite:fufolio:msCodBod25.124r,codbod25,recto,folio124r
848,urn:cite:fufolio:msCodBod25.124v,codbod25,verso,folio124v
849,urn:cite:fufolio:msCodBod25.125r,codbod25,recto,folio125r
850,urn:cite:fufolio:msCodBod25.125v,codbod25,verso,folio125v
851,urn:cite:fufolio:msCodBod25.126r,codbod25,recto,folio126r
852,urn:cite:fufolio:msCodBod25.126v,codbod25,verso,folio126v
853,urn:cite:fufolio:msCodBod25.127r,codbod25,recto,folio127r
854,urn:cite:fufolio:msCodBod25.127v,codbod25,verso,folio127v
855,urn:cite:fufolio:msCodBod25.128r,codbod25,recto,folio128r
856,urn:cite:fufolio:msCodBod25.128v,codbod25,verso,folio128v
857,urn:cite:fufolio:msCodBod25.129r,codbod25,recto,folio129r
