urn,imgurn,textreading,comments,texturn
urn:cite:openpal:fuchadcop.65,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3864,0.3211,0.025,0.0165",e,e,
urn:cite:openpal:fuchadcop.66,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4064,0.3226,0.029,0.0165",m,m,
urn:cite:openpal:fuchadcop.67,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4324,0.3233,0.029,0.0165",g,g,
urn:cite:openpal:fuchadcop.68,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4464,0.3226,0.029,0.0165",e,e,
urn:cite:openpal:fuchadcop.69,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4605,0.3241,0.029,0.0165",n,n,
urn:cite:openpal:fuchadcop.70,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4825,0.3241,0.029,0.0165",u,u,
urn:cite:openpal:fuchadcop.71,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4935,0.3241,0.029,0.0165",i,i,
urn:cite:openpal:fuchadcop.72,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5095,0.3233,0.029,0.0165",t,t,
urn:cite:openpal:fuchadcop.73,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5235,0.3233,0.029,0.0165",i,i,
urn:cite:openpal:fuchadcop.74,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5405,0.3248,0.029,0.0165",u,u,
urn:cite:openpal:fuchadcop.75,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5616,0.3226,0.029,0.0165",d,d,
urn:cite:openpal:fuchadcop.76,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5816,0.3241,0.025,0.0165",a,a,
urn:cite:openpal:fuchadcop.77,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6046,0.3248,0.028,0.0165",m,m,
urn:cite:openpal:fuchadcop.78,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6366,0.3263,0.037,0.0165",et,e t lig,
urn:cite:openpal:fuchadcop.79,"urn:cite:fufolioimg:ChadRGB.Chad002@0.1832,0.3488,0.027,0.0165",f,f,
urn:cite:openpal:fuchadcop.80,"urn:cite:fufolioimg:ChadRGB.Chad002@0.1982,0.3481,0.027,0.0165",r,r,
urn:cite:openpal:fuchadcop.81,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2202,0.3488,0.027,0.0165",a,a,
urn:cite:openpal:fuchadcop.82,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2412,0.3488,0.019,0.0165",t,t,
urn:cite:openpal:fuchadcop.83,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2533,0.3481,0.022,0.0165",r,r,
urn:cite:openpal:fuchadcop.84,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2713,0.3488,0.022,0.0165",e,e,
urn:cite:openpal:fuchadcop.85,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2833,0.3488,0.022,0.0165",s,s,
urn:cite:openpal:fuchadcop.86,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3053,0.3488,0.022,0.0165",e,e,
urn:cite:openpal:fuchadcop.87,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3173,0.3488,0.016,0.0165",i,i,
urn:cite:openpal:fuchadcop.88,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3303,0.3488,0.018,0.0165",u,u,
urn:cite:openpal:fuchadcop.89,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3463,0.3488,0.018,0.0165",s,s,
urn:cite:openpal:fuchadcop.90,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3684,0.3496,0.017,0.0165",i,i,
urn:cite:openpal:fuchadcop.91,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3764,0.3496,0.022,0.0165",u,u,
urn:cite:openpal:fuchadcop.92,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3964,0.3481,0.022,0.0165",d,d,
urn:cite:openpal:fuchadcop.93,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4174,0.3488,0.022,0.0165",a,a,
urn:cite:openpal:fuchadcop.94,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4344,0.3488,0.022,0.0165",s,s,
urn:cite:openpal:fuchadcop.95,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4605,0.3496,0.022,0.0165",a,a,
urn:cite:openpal:fuchadcop.96,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4805,0.3503,0.022,0.0165",u,u,
urn:cite:openpal:fuchadcop.97,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4945,0.3503,0.022,0.0165",t,t,
urn:cite:openpal:fuchadcop.98,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5095,0.3518,0.022,0.0165",e,e,
urn:cite:openpal:fuchadcop.99,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5255,0.3518,0.024,0.0165",m,m,
urn:cite:openpal:fuchadcop.100,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5536,0.3548,0.024,0.0165",g,g,
urn:cite:openpal:fuchadcop.101,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5676,0.3548,0.024,0.0165",e,e,
urn:cite:openpal:fuchadcop.102,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5836,0.3533,0.024,0.0165",n,n,
urn:cite:openpal:fuchadcop.103,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6056,0.3533,0.024,0.0165",u,u,
urn:cite:openpal:fuchadcop.104,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6276,0.3541,0.015,0.0165",i,i,
urn:cite:openpal:fuchadcop.105,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6346,0.3541,0.028,0.0165",t,t,
urn:cite:openpal:fuchadcop.106,"urn:cite:fufolioimg:ChadRGB.Chad002@0.1782,0.3781,0.028,0.0188",f,f,
urn:cite:openpal:fuchadcop.107,"urn:cite:fufolioimg:ChadRGB.Chad002@0.1982,0.3751,0.028,0.0165",h,h,
urn:cite:openpal:fuchadcop.108,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2212,0.3766,0.028,0.0165",a,a,
urn:cite:openpal:fuchadcop.109,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2432,0.3781,0.022,0.0165",r,r,
urn:cite:openpal:fuchadcop.110,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2573,0.3773,0.022,0.0165",e,e,
urn:cite:openpal:fuchadcop.111,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2733,0.3781,0.022,0.0165",s,s,
urn:cite:openpal:fuchadcop.112,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2983,0.3736,0.035,0.0248",et,e t lig,
urn:cite:openpal:fuchadcop.113,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3183,0.3743,0.035,0.0248",z,z,
urn:cite:openpal:fuchadcop.114,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3504,0.3781,0.025,0.0165",a,a,
urn:cite:openpal:fuchadcop.115,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3694,0.3781,0.025,0.0165",r,r,
urn:cite:openpal:fuchadcop.116,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3874,0.3781,0.025,0.0165",a,a,
urn:cite:openpal:fuchadcop.117,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4124,0.3796,0.025,0.0165",m,m,
urn:cite:openpal:fuchadcop.118,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4444,0.3781,0.025,0.0165",d,d,
urn:cite:openpal:fuchadcop.119,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4615,0.3788,0.025,0.0165",e,e,
urn:cite:openpal:fuchadcop.120,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4755,0.3788,0.022,0.0165",t,t,
urn:cite:openpal:fuchadcop.121,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4895,0.3788,0.022,0.0165",h,h,
urn:cite:openpal:fuchadcop.122,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5095,0.3811,0.022,0.0165",a,a,
urn:cite:openpal:fuchadcop.123,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5325,0.3811,0.026,0.0165",m,m,
urn:cite:openpal:fuchadcop.124,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5566,0.3826,0.022,0.0165",a,a,
urn:cite:openpal:fuchadcop.125,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5766,0.3833,0.022,0.0165",r,r,
urn:cite:openpal:fuchadcop.126,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5976,0.3841,0.022,0.0165",f,f,
urn:cite:openpal:fuchadcop.127,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6326,0.3826,0.022,0.0165",a,a,
urn:cite:openpal:fuchadcop.128,"urn:cite:fufolioimg:ChadRGB.Chad002@0.1962,0.4051,0.022,0.0165",r,r,
urn:cite:openpal:fuchadcop.129,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2112,0.4059,0.022,0.0165",e,e,
urn:cite:openpal:fuchadcop.130,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2262,0.4059,0.022,0.0165",s,s,
urn:cite:openpal:fuchadcop.131,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2523,0.4066,0.022,0.0165",a,a,
urn:cite:openpal:fuchadcop.132,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2733,0.4059,0.022,0.0165",u,u,
urn:cite:openpal:fuchadcop.133,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2893,0.4044,0.022,0.0165",t,t,
urn:cite:openpal:fuchadcop.134,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3013,0.4036,0.022,0.0165",e,e,
urn:cite:openpal:fuchadcop.135,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3163,0.4066,0.026,0.0165",m,m,
urn:cite:openpal:fuchadcop.136,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3473,0.4059,0.022,0.0165",e,e,
urn:cite:openpal:fuchadcop.137,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3614,0.4059,0.022,0.0165",s,s,
urn:cite:openpal:fuchadcop.138,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3804,0.4074,0.022,0.0165",r,r,
urn:cite:openpal:fuchadcop.139,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3954,0.4074,0.022,0.0165",o,o,
urn:cite:openpal:fuchadcop.140,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4154,0.4081,0.029,0.0165",m,m,
urn:cite:openpal:fuchadcop.141,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4464,0.4074,0.029,0.0165",e,e,
urn:cite:openpal:fuchadcop.142,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4625,0.4074,0.029,0.0165",s,s,
urn:cite:openpal:fuchadcop.143,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4815,0.4074,0.029,0.0165",r,r,
urn:cite:openpal:fuchadcop.144,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4995,0.4089,0.029,0.0165",o,o,
urn:cite:openpal:fuchadcop.145,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5215,0.4089,0.029,0.0165",m,m,
urn:cite:openpal:fuchadcop.146,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5546,0.4096,0.029,0.0165",a,a,
urn:cite:openpal:fuchadcop.147,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5736,0.4096,0.029,0.0165",u,u,
urn:cite:openpal:fuchadcop.148,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5926,0.4096,0.029,0.0165",t,t,
urn:cite:openpal:fuchadcop.149,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6026,0.4089,0.029,0.0165",e,e,
urn:cite:openpal:fuchadcop.150,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6216,0.4104,0.029,0.0165",m,m,
urn:cite:openpal:fuchadcop.151,"urn:cite:fufolioimg:ChadRGB.Chad002@0.1742,0.4374,0.029,0.0165",g,g,
urn:cite:openpal:fuchadcop.152,"urn:cite:fufolioimg:ChadRGB.Chad002@0.1922,0.4344,0.029,0.0165",e,e,
urn:cite:openpal:fuchadcop.153,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2042,0.4344,0.029,0.0165",n,n,
urn:cite:openpal:fuchadcop.154,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2272,0.4336,0.029,0.0165",u,u,
urn:cite:openpal:fuchadcop.155,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2422,0.4351,0.029,0.0165",i,i,
urn:cite:openpal:fuchadcop.156,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2533,0.4351,0.029,0.0165",t,t,
urn:cite:openpal:fuchadcop.157,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2733,0.4344,0.029,0.0165",a,a,
urn:cite:openpal:fuchadcop.158,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2893,0.4359,0.029,0.0165",r,r,
urn:cite:openpal:fuchadcop.159,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3123,0.4359,0.029,0.0165",a,a,
urn:cite:openpal:fuchadcop.160,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3343,0.4359,0.029,0.0165",m,m,
urn:cite:openpal:fuchadcop.161,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3764,0.4351,0.029,0.0218",a,a,
urn:cite:openpal:fuchadcop.162,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4084,0.4381,0.021,0.0188",r,r,
urn:cite:openpal:fuchadcop.163,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4254,0.4381,0.021,0.0188",a,a,
urn:cite:openpal:fuchadcop.164,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4414,0.4374,0.021,0.0188",s,s,
urn:cite:openpal:fuchadcop.165,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4675,0.4374,0.021,0.0188",a,a,
urn:cite:openpal:fuchadcop.166,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4875,0.4381,0.021,0.0188",u,u,
urn:cite:openpal:fuchadcop.167,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5035,0.4366,0.021,0.0188",t,t,
urn:cite:openpal:fuchadcop.168,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5165,0.4366,0.021,0.0188",e,e,
urn:cite:openpal:fuchadcop.169,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5315,0.4366,0.024,0.0188",m,m,
urn:cite:openpal:fuchadcop.170,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5586,0.4396,0.024,0.0188",g,g,
urn:cite:openpal:fuchadcop.171,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5726,0.4389,0.024,0.0188",e,e,
urn:cite:openpal:fuchadcop.172,"urn:cite:fufolioimg:ChadRGB.Chad002@0.5726,0.4389,0.024,0.0188",n,n,
urn:cite:openpal:fuchadcop.173,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6076,0.4374,0.024,0.0188",u,u,
urn:cite:openpal:fuchadcop.174,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6246,0.4389,0.024,0.0188",i,i,
urn:cite:openpal:fuchadcop.175,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6356,0.4389,0.024,0.0188",t,t,
urn:cite:openpal:fuchadcop.176,"urn:cite:fufolioimg:ChadRGB.Chad002@0.1812,0.4629,0.024,0.0188",a,a,
urn:cite:openpal:fuchadcop.177,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2092,0.4651,0.027,0.0188",m,m,
urn:cite:openpal:fuchadcop.178,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2312,0.4674,0.018,0.0128",i,i,
urn:cite:openpal:fuchadcop.179,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2472,0.4681,0.018,0.0128",n,n,
urn:cite:openpal:fuchadcop.180,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2693,0.4681,0.018,0.0128",a,a,
urn:cite:openpal:fuchadcop.181,"urn:cite:fufolioimg:ChadRGB.Chad002@0.2883,0.4651,0.018,0.0158",d,d,
urn:cite:openpal:fuchadcop.182,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3083,0.4666,0.018,0.0158",a,a,
urn:cite:openpal:fuchadcop.183,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3273,0.4651,0.018,0.0158",b,b,
urn:cite:openpal:fuchadcop.184,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3564,0.4674,0.026,0.0158",a,a,
urn:cite:openpal:fuchadcop.185,"urn:cite:fufolioimg:ChadRGB.Chad002@0.3834,0.4674,0.028,0.0158",m,m,
urn:cite:openpal:fuchadcop.186,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4054,0.4681,0.017,0.0158",i,i,
urn:cite:openpal:fuchadcop.187,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4184,0.4689,0.027,0.0158",n,n,
urn:cite:openpal:fuchadcop.188,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4394,0.4689,0.027,0.0158",a,a,
urn:cite:openpal:fuchadcop.189,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4585,0.4651,0.027,0.0158",d,d,
urn:cite:openpal:fuchadcop.190,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4745,0.4659,0.027,0.0158",a,a,
urn:cite:openpal:fuchadcop.191,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4915,0.4659,0.027,0.0158",b,b,
urn:cite:openpal:fuchadcop.192,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4915,0.4659,0.027,0.0158",a,a,
urn:cite:openpal:fuchadcop.193,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4915,0.4659,0.027,0.0158",u,u,
urn:cite:openpal:fuchadcop.194,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4915,0.4659,0.027,0.0158",t,t,
urn:cite:openpal:fuchadcop.195,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4915,0.4659,0.027,0.0158",e,e,
urn:cite:openpal:fuchadcop.196,"urn:cite:fufolioimg:ChadRGB.Chad002@0.4915,0.4659,0.027,0.0158",m,m,
urn:cite:openpal:fuchadcop.197,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6166,0.4711,0.027,0.0158",g,g,
urn:cite:openpal:fuchadcop.198,"urn:cite:fufolioimg:ChadRGB.Chad002@0.6326,0.4689,0.027,0.0158",e,e,
urn:cite:openpal:fuchadcop.199,"urn:cite:fufolioimg:ChadRGB.Chad002@0.1802,0.4944,0.027,0.0158",n,n,
urn:cite:openpal:fuchadcop.200,"",,,
urn:cite:openpal:fuchadcop.200,"",,,
urn:cite:openpal:fuchadcop.200,"",,,urn:cite:openpal:fuchadcop.200,"",,,
