"urn:cite:ecod:codbod25.cb-0025_001r@0.1552,0.1545,0.4525,0.0405","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.title"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1221,0.2731,0.4685,0.0278","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.1"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1201,0.2723,0.5445,0.081","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.2"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1221,0.3331,0.5495,0.0593","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.3"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1251,0.3721,0.5495,0.042","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.4"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1231,0.4074,0.5405,0.0405","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.5"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1231,0.4456,0.5325,0.0383","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.6"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1101,0.4809,0.5495,0.0615","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.7"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1181,0.5206,0.5395,0.0413","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.8"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1091,0.5394,0.5566,0.066","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.9"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1131,0.5761,0.5465,0.0615","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.10"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1161,0.6152,0.5385,0.0623","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.11"
"urn:cite:ecod:codbod25.cb-0025_001r@0.0881,0.6714,0.5766,0.06","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.12"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1121,0.7119,0.5536,0.039","urn:cts:greekLit:tlg0031.tlg001.cb25d:1.13"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1201,0.0435,0.7277,0.018","urn:cts:greekLit:fuNTPL.matth.msCB25:Matthew.1.1"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1201,0.0435,0.8048,0.0353","urn:cts:greekLit:fuNTPL.matth.msCB25:Matthew.1.2"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1281,0.0615,0.8078,0.0443","urn:cts:greekLit:fuNTPL.matth.msCB25:Matthew.1.3"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1281,0.0878,0.8158,0.033","urn:cts:greekLit:fuNTPL.matth.msCB25:Matthew.1.4"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1161,0.1058,0.8238,0.0323","urn:cts:greekLit:fuNTPL.matth.msCB25:Matthew.1.5"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1091,0.1223,0.8278,0.0308","urn:cts:greekLit:fuNTPL.matth.msCB25:Matthew.1.6"
"urn:cite:ecod:codbod25.cb-0025_001r@0.1251,0.1328,0.8088,0.03","urn:cts:greekLit:fuNTPL.matth.msCB25:Matthew.1.7"
"urn:cite:ecod:codbod25.cb-0025_001r@0.4024,0.141,0.5395,0.072","urn:cts:greekLit:fuNTPL.matth.msCB25:Matthew.1.8"
"urn:cite:ecod:codbod25.cb-0025_001r@0.6857,0.186,0.2482,0.0675","urn:cts:greekLit:fuNTPL.matth.msCB25:Matthew.1.9"


